group,names,scores,logfoldchanges,pvals,pvals_adj
7,HLA-DQB1,8.150755,,3.6165862035907355e-16,7.233172407181471e-14
7,HLA-DQA2,7.617934,,2.577676602341238e-14,4.686684731529523e-12
7,CLEC10A,7.504534,,6.164752594967133e-14,9.701829926890043e-12
7,LYZ,7.5015616,,6.306189452478527e-14,9.701829926890043e-12
7,HLA-DMA,7.4440613,,9.763603453693091e-14,1.3948004933847274e-11
7,AP1S2,7.014924,,2.300740837323537e-12,2.875926046654421e-10
8,ACTB,7.3806143,,1.5756090486877325e-13,1.5756090486877325e-10
8,ACTG1,6.57254,,4.9464118180528565e-11,2.4732059090264283e-08
8,HMGB1,6.37207,,1.8649371240232947e-10,5.328391782923699e-08
8,ARPC5,6.1560473,,7.458284746214815e-10,1.6573966102699588e-07
8,TAGLN2,6.112817,,9.788780003037203e-10,1.9577560006074404e-07
8,MYL6,6.0670815,,1.3025539261551331e-09,2.368279865736606e-07
8,RGS10,5.9583454,,2.5480446338881674e-09,4.0944269189295215e-07
8,GAPDH,5.9172235,,3.27421813464065e-09,4.677454478058071e-07
8,CCL5,5.6353,,1.747536075018346e-08,2.0559247941392302e-06
8,ODC1,5.585084,,2.3358740525219135e-08,2.5954156139132374e-06
8,ARPC1B,5.453678,,4.933853092179507e-08,5.0898640321727305e-06
8,FKBP1A,5.448142,,5.08986403217273e-08,5.0898640321727305e-06
8,TALDO1,5.249122,,1.5282570562429344e-07,1.2226056449943474e-05
8,OAZ1,4.898135,,9.675052526160437e-07,6.046907828850273e-05
8,GNG11,4.886668,,1.0255663960279413e-06,6.146799094595038e-05
